,housing,campaign,job,age,loan,marital,education
7650,yes,2,admin.,56,no,married,high.school
7651,no,18,blue-collar,30,no,single,basic.9y
7652,no,2,services,42,no,married,high.school
7653,yes,7,technician,44,no,married,high.school
7654,yes,4,management,43,no,married,university.degree
7655,no,12,housemaid,29,no,married,high.school
7656,yes,3,admin.,40,no,single,university.degree
7657,no,7,management,49,no,divorced,university.degree
7658,yes,3,admin.,33,no,single,high.school
7659,no,3,housemaid,41,no,married,university.degree
7660,yes,2,services,27,no,single,high.school
7661,no,8,services,45,no,divorced,high.school
7662,no,2,housemaid,34,no,single,university.degree
7663,no,3,technician,35,no,single,university.degree
7664,yes,5,unknown,45,no,single,basic.4y
7665,yes,2,self-employed,35,yes,married,basic.9y
7666,yes,6,blue-collar,34,no,married,basic.9y
7667,yes,3,admin.,47,no,married,high.school
7668,no,2,technician,27,no,single,professional.course
7669,no,2,blue-collar,22,no,single,basic.6y
7670,no,11,blue-collar,36,no,married,basic.4y
7671,no,2,technician,54,no,married,professional.course
7672,yes,2,admin.,51,no,married,university.degree
7673,no,4,admin.,50,no,married,basic.6y
7674,no,2,admin.,44,no,married,high.school
7675,yes,2,entrepreneur,52,yes,married,basic.9y
7676,no,16,management,33,no,single,university.degree
7677,yes,2,admin.,51,no,married,professional.course
7678,yes,3,admin.,30,no,single,high.school
7679,no,3,self-employed,36,no,divorced,basic.4y
7680,no,4,blue-collar,42,no,divorced,basic.4y
7681,yes,3,blue-collar,30,no,single,basic.6y
7682,yes,2,admin.,23,no,married,high.school
7683,no,3,services,44,no,married,high.school
7684,yes,3,admin.,28,yes,single,university.degree
7685,no,6,services,39,no,married,high.school
7686,no,2,retired,57,no,married,high.school
7687,no,2,blue-collar,30,no,married,unknown
7688,no,4,unknown,52,no,married,basic.6y
7689,yes,2,admin.,27,no,married,basic.9y
7690,no,8,self-employed,37,no,married,high.school
7691,no,3,technician,44,no,married,professional.course
7692,no,10,technician,35,no,divorced,professional.course
7693,yes,6,blue-collar,35,no,married,basic.6y
7694,yes,13,self-employed,37,no,married,professional.course
7695,yes,5,admin.,44,no,married,high.school
7696,no,3,entrepreneur,39,yes,married,high.school
7697,yes,2,blue-collar,50,no,married,unknown
7698,no,5,services,53,no,married,basic.4y
7699,yes,2,blue-collar,31,no,single,unknown
7700,no,18,admin.,28,yes,married,high.school
7701,yes,2,services,57,no,divorced,high.school
7702,yes,2,services,42,no,married,high.school
7703,no,4,admin.,34,no,married,university.degree
7704,no,9,admin.,48,no,married,university.degree
7705,yes,6,admin.,47,no,married,basic.6y
7706,yes,4,management,36,no,married,university.degree
7707,yes,7,blue-collar,28,no,married,basic.6y
7708,no,3,admin.,31,no,married,university.degree
7709,no,3,blue-collar,30,no,married,basic.9y
7710,no,6,services,38,no,married,high.school
7711,no,3,blue-collar,57,no,married,basic.9y
7712,yes,4,blue-collar,45,no,divorced,basic.9y
7713,yes,3,technician,42,no,divorced,university.degree
7714,yes,25,admin.,31,no,single,high.school
7715,yes,6,technician,30,no,married,university.degree
7716,yes,6,housemaid,37,yes,married,high.school
7717,yes,4,admin.,32,no,single,high.school
7718,no,2,technician,41,no,married,professional.course
7719,no,12,blue-collar,43,no,married,basic.4y
7720,yes,4,entrepreneur,34,no,married,professional.course
7721,no,3,technician,47,no,married,professional.course
7722,no,2,management,40,no,married,high.school
7723,yes,6,services,43,no,married,high.school
7724,no,4,blue-collar,48,no,single,basic.6y
7725,yes,12,admin.,40,no,divorced,professional.course
7726,no,9,blue-collar,38,no,married,basic.9y
7727,yes,2,unemployed,37,no,married,professional.course
7728,no,2,blue-collar,55,no,married,basic.4y
7729,yes,4,blue-collar,42,no,married,basic.4y
7730,no,5,self-employed,30,no,single,university.degree
7731,no,5,services,31,no,single,basic.9y
7732,no,3,management,57,yes,married,university.degree
7733,yes,8,entrepreneur,47,no,married,university.degree
7734,yes,4,technician,38,no,married,professional.course
7735,no,3,admin.,40,yes,married,high.school
7736,no,4,unknown,60,no,single,unknown
7737,no,2,blue-collar,50,no,married,basic.9y
7738,yes,2,admin.,44,no,married,high.school
7739,yes,3,services,40,no,married,high.school
7740,yes,3,blue-collar,34,no,divorced,basic.4y
7741,no,3,technician,46,no,married,basic.9y
7742,yes,7,admin.,33,no,married,high.school
7743,yes,3,blue-collar,51,no,married,unknown
7744,no,8,unemployed,37,no,married,professional.course
7745,no,2,services,30,no,married,high.school
7746,yes,2,housemaid,56,no,married,basic.4y
7747,no,3,blue-collar,31,no,married,basic.9y
7748,no,3,blue-collar,39,yes,married,basic.9y
7749,yes,2,self-employed,40,no,married,basic.4y
7750,yes,16,housemaid,36,no,married,basic.6y
7751,yes,9,services,40,yes,married,high.school
7752,yes,3,self-employed,41,no,married,high.school
7753,yes,19,unemployed,42,no,married,basic.4y
7754,no,3,management,47,yes,married,basic.4y
7755,no,5,admin.,51,no,married,basic.9y
7756,no,3,technician,33,no,married,professional.course
7757,no,4,admin.,35,no,single,university.degree
7758,no,3,unemployed,48,yes,married,basic.6y
7759,no,8,blue-collar,46,yes,married,basic.4y
7760,no,2,entrepreneur,24,no,married,university.degree
7761,no,5,blue-collar,27,yes,married,basic.9y
7762,no,2,technician,33,no,married,professional.course
7763,no,3,management,26,no,single,university.degree
7764,no,9,technician,42,no,married,professional.course
7765,no,2,admin.,30,no,married,university.degree
7766,no,3,technician,55,no,married,basic.9y
7767,yes,2,blue-collar,41,no,married,basic.4y
7768,no,3,blue-collar,47,no,divorced,basic.4y
7769,no,2,admin.,42,no,married,university.degree
7770,yes,4,housemaid,53,no,married,professional.course
7771,no,2,services,45,no,married,basic.9y
7772,yes,3,technician,54,no,married,professional.course
7773,yes,4,unemployed,39,no,married,university.degree
7774,yes,3,technician,52,no,married,professional.course
7775,yes,7,services,38,no,married,high.school
7776,no,3,blue-collar,58,no,married,basic.9y
7777,unknown,4,technician,37,unknown,single,professional.course
7778,no,3,services,29,yes,divorced,high.school
7779,no,4,retired,59,yes,married,unknown
7780,yes,2,self-employed,36,yes,divorced,university.degree
7781,no,2,services,30,no,married,high.school
7782,no,1,technician,46,yes,married,professional.course
7783,yes,3,retired,46,no,married,basic.4y
7784,yes,1,unknown,38,no,divorced,high.school
7785,no,1,blue-collar,57,no,divorced,unknown
7786,no,2,admin.,25,no,single,high.school
7787,no,1,management,49,no,married,university.degree
7788,yes,8,blue-collar,38,yes,married,high.school
7789,yes,1,retired,59,no,married,university.degree
7790,unknown,2,technician,32,unknown,single,professional.course
7791,yes,1,entrepreneur,37,no,married,university.degree
7792,no,1,blue-collar,34,no,divorced,basic.4y
7793,yes,5,admin.,46,no,married,university.degree
7794,yes,2,self-employed,47,no,married,professional.course
7795,yes,3,services,26,no,single,basic.9y
7796,yes,2,technician,35,no,single,high.school
7797,no,1,blue-collar,42,no,married,unknown
7798,no,2,technician,48,no,married,high.school
7799,no,1,management,42,no,divorced,high.school
7800,no,1,technician,55,no,married,basic.9y
7801,no,3,admin.,41,no,single,university.degree
7802,no,3,admin.,46,no,married,university.degree
7803,no,1,technician,44,no,married,basic.4y
7804,no,2,admin.,38,no,married,basic.9y
7805,no,1,admin.,30,no,married,university.degree
7806,no,3,services,54,no,divorced,high.school
7807,no,1,entrepreneur,48,yes,married,basic.4y
7808,no,4,unemployed,38,no,married,basic.6y
7809,yes,2,services,33,no,single,basic.6y
7810,yes,1,self-employed,44,no,divorced,high.school
7811,yes,2,admin.,39,yes,single,university.degree
7812,no,1,technician,40,no,married,professional.course
7813,no,1,unemployed,43,no,married,university.degree
7814,no,2,management,60,no,married,university.degree
7815,no,1,retired,56,no,divorced,basic.4y
7816,no,1,entrepreneur,46,no,married,basic.9y
7817,no,1,services,30,no,divorced,basic.9y
7818,no,1,technician,38,no,single,university.degree
7819,no,2,services,28,no,married,high.school
7820,yes,1,admin.,40,no,married,university.degree
7821,yes,1,services,34,no,single,professional.course
7822,yes,1,admin.,40,no,married,university.degree
7823,no,1,services,35,no,single,basic.4y
7824,yes,1,retired,43,no,married,basic.4y
7825,yes,2,management,51,yes,married,university.degree
7826,no,1,blue-collar,33,no,married,high.school
7827,yes,2,admin.,35,no,divorced,university.degree
7828,no,4,blue-collar,25,no,married,basic.9y
7829,yes,4,services,50,no,divorced,basic.4y
7830,yes,1,blue-collar,34,no,single,basic.4y
7831,no,2,technician,47,yes,single,university.degree
7832,yes,1,blue-collar,35,yes,married,basic.6y
7833,yes,1,admin.,35,no,single,basic.4y
7834,yes,1,entrepreneur,39,no,married,basic.9y
7835,yes,1,blue-collar,42,no,married,basic.6y
7836,no,1,blue-collar,42,no,married,basic.6y
7837,yes,2,blue-collar,43,no,divorced,unknown
7838,no,3,technician,48,no,married,professional.course
7839,yes,5,blue-collar,25,yes,married,basic.9y
7840,yes,1,blue-collar,32,no,married,professional.course
7841,yes,13,self-employed,47,no,divorced,professional.course
7842,yes,1,technician,47,yes,single,professional.course
7843,no,3,services,30,no,married,high.school
7844,yes,1,self-employed,31,yes,married,university.degree
7845,yes,21,management,35,no,single,university.degree
7846,no,1,blue-collar,38,no,married,basic.9y
7847,yes,1,blue-collar,39,no,married,basic.9y
7848,no,1,blue-collar,45,no,single,basic.9y
7849,yes,3,blue-collar,40,no,single,basic.9y
7850,no,2,services,30,no,married,high.school
7851,no,7,blue-collar,48,no,married,unknown
7852,no,1,blue-collar,38,no,married,basic.6y
7853,no,2,unemployed,58,no,married,basic.9y
7854,yes,1,blue-collar,39,no,married,basic.4y
7855,no,1,blue-collar,58,no,married,basic.6y
7856,yes,1,admin.,39,no,married,university.degree
7857,no,1,blue-collar,35,no,married,basic.9y
7858,unknown,2,management,40,unknown,married,university.degree
7859,yes,5,admin.,49,no,divorced,high.school
7860,yes,1,blue-collar,34,no,married,basic.9y
7861,no,2,unemployed,49,no,divorced,professional.course
7862,no,2,blue-collar,32,no,married,basic.9y
7863,no,1,admin.,44,no,single,high.school
7864,no,1,blue-collar,35,no,married,high.school
7865,yes,1,technician,38,no,single,professional.course
7866,yes,2,blue-collar,35,no,married,basic.9y
7867,yes,1,technician,33,no,single,university.degree
7868,no,6,services,30,no,single,high.school
7869,yes,2,entrepreneur,55,yes,divorced,university.degree
7870,no,1,entrepreneur,47,yes,married,university.degree
7871,yes,1,blue-collar,51,no,married,basic.9y
7872,no,6,entrepreneur,40,no,married,professional.course
7873,no,1,blue-collar,44,no,married,professional.course
7874,no,1,blue-collar,41,no,married,basic.9y
7875,yes,1,blue-collar,32,yes,single,basic.4y
7876,yes,1,services,40,no,single,high.school
7877,no,1,self-employed,41,no,married,basic.4y
7878,no,3,technician,38,no,married,basic.9y
7879,no,4,technician,29,no,single,unknown
7880,unknown,1,admin.,32,unknown,single,university.degree
7881,yes,1,services,39,yes,single,high.school
7882,yes,1,services,41,yes,divorced,high.school
7883,yes,1,self-employed,39,yes,married,basic.4y
7884,no,1,admin.,25,no,single,high.school
7885,no,1,technician,33,no,married,basic.9y
7886,yes,2,services,24,no,single,high.school
7887,no,2,housemaid,36,no,married,basic.4y
7888,yes,1,blue-collar,35,no,divorced,basic.4y
7889,yes,1,blue-collar,40,yes,married,basic.6y
7890,no,1,admin.,26,no,married,high.school
7891,yes,2,technician,40,no,divorced,university.degree
7892,no,2,management,45,no,married,university.degree
7893,unknown,1,entrepreneur,39,unknown,married,high.school
7894,no,1,admin.,26,yes,single,high.school
7895,no,2,technician,41,no,single,university.degree
7896,yes,2,housemaid,48,no,married,basic.6y
7897,no,4,admin.,32,no,married,high.school
7898,no,6,admin.,47,no,married,professional.course
7899,yes,1,blue-collar,51,yes,married,basic.4y
7900,yes,1,blue-collar,55,yes,married,professional.course
7901,yes,3,admin.,37,no,divorced,university.degree
7902,yes,3,services,52,no,married,high.school
7903,yes,1,management,47,yes,divorced,university.degree
7904,no,2,blue-collar,33,no,married,basic.9y
7905,no,2,admin.,53,no,divorced,university.degree
7906,yes,2,housemaid,57,no,married,basic.4y
7907,yes,2,services,53,no,married,high.school
7908,no,1,admin.,25,no,married,unknown
7909,no,1,admin.,26,no,single,high.school
7910,no,3,management,46,no,married,university.degree
7911,no,1,retired,58,no,married,high.school
7912,no,1,technician,56,yes,married,university.degree
7913,unknown,1,technician,52,unknown,married,high.school
7914,no,2,technician,43,no,married,professional.course
7915,yes,1,technician,36,no,married,professional.course
7916,no,1,blue-collar,45,no,single,high.school
7917,no,5,blue-collar,36,no,married,basic.6y
7918,yes,1,admin.,55,no,divorced,unknown
7919,yes,2,blue-collar,29,no,married,basic.4y
7920,yes,1,blue-collar,48,no,married,basic.4y
7921,yes,1,services,42,no,divorced,high.school
7922,no,4,admin.,47,no,married,university.degree
7923,no,1,technician,45,no,single,professional.course
7924,yes,5,blue-collar,25,no,married,basic.9y
7925,yes,1,services,41,no,divorced,basic.9y
7926,no,1,technician,51,yes,married,professional.course
7927,yes,4,technician,41,no,single,university.degree
7928,yes,2,blue-collar,40,no,married,basic.9y
7929,no,3,services,33,no,single,high.school
7930,no,2,admin.,28,no,single,university.degree
7931,yes,3,admin.,27,no,married,basic.9y
7932,no,4,admin.,25,no,married,university.degree
7933,yes,1,admin.,45,no,married,unknown
7934,no,2,blue-collar,55,no,married,basic.9y
7935,yes,2,blue-collar,49,no,married,basic.9y
7936,yes,2,admin.,39,no,single,unknown
7937,no,4,management,53,no,divorced,university.degree
7938,no,2,unknown,53,no,married,high.school
7939,yes,4,blue-collar,31,no,married,basic.9y
7940,no,2,admin.,39,no,single,university.degree
7941,no,2,admin.,55,yes,married,high.school
7942,yes,3,blue-collar,38,no,married,basic.9y
7943,no,2,blue-collar,32,no,divorced,basic.4y
7944,yes,3,blue-collar,34,no,married,high.school
7945,yes,12,admin.,54,no,married,high.school
7946,no,4,management,54,yes,married,university.degree
7947,no,1,management,47,yes,divorced,university.degree
7948,yes,2,services,29,yes,single,high.school
7949,yes,8,admin.,36,no,married,university.degree
7950,no,1,services,37,no,married,high.school
7951,no,3,admin.,41,no,married,high.school
7952,no,3,blue-collar,26,no,married,basic.9y
7953,no,3,self-employed,25,no,single,university.degree
7954,no,6,management,60,no,married,university.degree
7955,yes,1,entrepreneur,40,no,married,university.degree
7956,yes,4,technician,40,no,single,professional.course
7957,no,7,management,36,no,married,university.degree
7958,yes,1,admin.,38,no,married,high.school
7959,yes,2,blue-collar,28,no,single,high.school
7960,yes,2,technician,25,no,divorced,university.degree
7961,no,4,management,45,no,divorced,university.degree
7962,yes,1,blue-collar,44,no,married,basic.9y
7963,yes,3,management,51,yes,married,unknown
7964,no,11,admin.,39,no,married,university.degree
7965,yes,2,self-employed,33,no,single,university.degree
7966,yes,1,unknown,49,no,married,unknown
7967,yes,2,blue-collar,36,no,single,basic.4y
7968,yes,3,self-employed,39,yes,married,university.degree
7969,yes,2,blue-collar,55,yes,married,basic.4y
7970,yes,2,blue-collar,48,no,divorced,basic.4y
7971,yes,2,admin.,33,yes,single,university.degree
7972,no,2,blue-collar,58,no,married,basic.4y
7973,yes,3,housemaid,36,no,married,basic.6y
7974,no,2,admin.,28,no,married,university.degree
7975,no,8,admin.,37,no,married,university.degree
7976,no,3,technician,45,no,married,university.degree
7977,yes,3,technician,43,no,single,professional.course
7978,no,3,blue-collar,30,no,married,professional.course
7979,no,2,services,34,no,divorced,professional.course
7980,no,2,blue-collar,39,no,married,basic.9y
7981,yes,2,admin.,35,no,single,university.degree
7982,yes,3,admin.,33,no,married,high.school
7983,no,2,services,33,no,single,university.degree
7984,no,2,blue-collar,37,no,married,basic.9y
7985,yes,5,services,39,no,divorced,high.school
7986,no,1,technician,49,no,married,professional.course
7987,no,2,blue-collar,39,no,married,basic.9y
7988,yes,1,entrepreneur,37,no,married,basic.9y
7989,no,4,admin.,45,no,married,university.degree
7990,no,1,services,40,no,divorced,high.school
7991,no,3,admin.,52,no,divorced,university.degree
7992,no,3,admin.,41,no,married,high.school
7993,yes,3,admin.,43,no,married,high.school
7994,no,9,blue-collar,30,no,single,basic.4y
7995,no,4,unemployed,34,no,single,university.degree
7996,yes,3,services,41,no,married,basic.9y
7997,yes,2,admin.,45,no,married,high.school
7998,no,3,services,36,no,single,basic.6y
7999,yes,4,blue-collar,33,no,single,basic.9y
8000,no,3,blue-collar,55,no,married,basic.4y
8001,no,2,retired,42,no,married,basic.9y
8002,no,2,services,42,no,married,high.school
8003,yes,5,blue-collar,44,no,married,basic.6y
8004,no,2,services,36,no,married,high.school
8005,no,2,blue-collar,41,no,married,unknown
8006,no,2,unknown,35,no,married,basic.9y
8007,yes,7,admin.,58,no,divorced,university.degree
8008,yes,1,retired,58,no,married,basic.9y
8009,yes,2,entrepreneur,52,no,married,university.degree
8010,yes,2,admin.,32,no,married,university.degree
8011,no,9,technician,33,yes,married,high.school
8012,no,4,management,56,no,divorced,university.degree
8013,yes,2,admin.,37,no,married,university.degree
8014,yes,5,technician,55,no,married,professional.course
8015,no,3,technician,35,no,married,professional.course
8016,no,6,admin.,24,yes,married,high.school
8017,no,3,retired,54,no,divorced,basic.4y
8018,no,2,admin.,42,yes,married,high.school
8019,no,8,services,47,no,married,high.school
8020,no,4,blue-collar,27,no,married,basic.9y
8021,no,2,admin.,33,no,single,university.degree
8022,yes,2,technician,34,no,married,professional.course
8023,no,1,services,51,yes,married,high.school
8024,no,1,management,30,no,single,university.degree
8025,no,4,admin.,58,yes,married,university.degree
8026,yes,5,management,31,no,married,high.school
8027,yes,3,admin.,33,no,married,high.school
8028,yes,2,housemaid,47,yes,married,basic.4y
8029,no,1,blue-collar,35,no,single,unknown
8030,no,2,retired,55,no,divorced,basic.6y
8031,no,1,admin.,45,no,divorced,university.degree
8032,yes,32,services,32,no,married,high.school
8033,no,5,technician,30,yes,married,university.degree
8034,yes,5,admin.,39,no,married,high.school
8035,yes,1,blue-collar,53,no,married,basic.4y
8036,yes,1,entrepreneur,47,no,single,university.degree
8037,yes,3,blue-collar,52,no,married,basic.4y
8038,no,2,blue-collar,38,no,married,basic.6y
8039,yes,2,admin.,37,no,divorced,basic.9y
8040,yes,1,housemaid,36,no,married,high.school
8041,yes,5,housemaid,47,yes,married,professional.course
8042,yes,1,blue-collar,28,yes,married,basic.9y
8043,no,3,blue-collar,44,yes,divorced,unknown
8044,no,4,admin.,34,no,married,university.degree
8045,yes,5,blue-collar,33,no,married,basic.6y
8046,yes,1,technician,30,yes,married,professional.course
8047,no,3,blue-collar,41,no,married,basic.9y
8048,yes,5,blue-collar,57,no,married,basic.4y
8049,no,2,retired,60,no,married,basic.4y
8050,no,3,blue-collar,34,no,married,basic.6y
8051,no,5,management,39,no,married,basic.6y
8052,yes,3,admin.,36,no,married,university.degree
8053,no,5,technician,48,no,divorced,professional.course
8054,no,3,technician,44,no,married,high.school
8055,yes,1,technician,34,yes,married,professional.course
8056,yes,4,technician,42,no,married,university.degree
8057,yes,10,admin.,28,no,married,high.school
8058,yes,1,technician,30,no,married,professional.course
8059,yes,4,admin.,40,no,single,high.school
8060,no,6,technician,38,no,single,university.degree
8061,yes,8,technician,52,no,divorced,professional.course
8062,no,4,blue-collar,52,no,married,high.school
8063,yes,2,admin.,36,no,single,high.school
8064,yes,1,blue-collar,27,no,married,basic.6y
8065,no,1,services,53,no,divorced,basic.4y
8066,no,1,admin.,38,no,single,university.degree
8067,no,2,technician,39,no,married,professional.course
8068,yes,4,blue-collar,47,no,married,unknown
8069,yes,3,admin.,35,yes,married,high.school
8070,no,1,blue-collar,54,no,married,high.school
8071,no,4,technician,33,no,single,professional.course
8072,no,1,admin.,39,no,married,university.degree
8073,no,2,blue-collar,41,no,single,basic.4y
8074,yes,4,technician,29,yes,married,basic.9y
8075,yes,6,retired,50,no,married,basic.4y
8076,no,20,entrepreneur,32,no,single,professional.course
8077,no,2,blue-collar,31,yes,married,basic.6y
8078,yes,1,entrepreneur,29,no,married,professional.course
8079,no,3,unemployed,44,no,married,professional.course
8080,no,2,blue-collar,41,no,married,basic.4y
8081,yes,1,housemaid,30,yes,married,high.school
8082,yes,3,services,33,no,married,high.school
8083,no,2,services,56,no,married,basic.4y
8084,unknown,6,blue-collar,26,unknown,married,basic.6y
8085,no,2,blue-collar,49,no,married,basic.4y
8086,yes,3,admin.,40,no,single,high.school
8087,yes,8,services,51,no,married,high.school
8088,yes,8,blue-collar,48,no,married,basic.6y
8089,yes,2,technician,47,no,divorced,high.school
8090,no,15,blue-collar,34,no,married,basic.9y
8091,yes,2,admin.,36,no,married,university.degree
8092,no,2,services,43,no,married,high.school
8093,no,2,entrepreneur,56,no,married,unknown
8094,yes,2,housemaid,39,no,divorced,basic.9y
8095,yes,4,technician,43,no,single,university.degree
8096,no,7,admin.,39,no,married,university.degree
8097,yes,16,management,59,no,married,basic.6y
8098,no,2,admin.,50,no,married,high.school
8099,yes,8,services,24,no,single,high.school
8100,no,3,blue-collar,38,no,married,high.school
8101,yes,11,technician,41,no,married,professional.course
8102,no,3,blue-collar,34,yes,married,basic.6y
8103,yes,6,unemployed,48,no,single,basic.4y
8104,yes,3,admin.,35,no,married,university.degree
8105,yes,8,entrepreneur,54,yes,divorced,university.degree
8106,no,5,services,31,no,married,basic.6y
8107,no,4,services,42,no,married,high.school
8108,yes,8,blue-collar,45,no,married,basic.6y
8109,no,2,services,24,yes,single,basic.9y
8110,no,7,management,37,yes,married,university.degree
8111,no,3,housemaid,57,yes,married,professional.course
8112,yes,2,student,35,yes,single,university.degree
8113,unknown,2,admin.,41,unknown,married,high.school
8114,no,13,unemployed,33,yes,single,university.degree
8115,no,3,blue-collar,42,no,married,basic.9y
8116,yes,9,technician,35,yes,single,professional.course
8117,no,3,technician,44,no,married,professional.course
8118,no,2,blue-collar,36,yes,married,basic.9y
8119,no,3,services,28,no,single,high.school
8120,no,4,blue-collar,57,no,divorced,basic.4y
8121,no,12,management,41,no,divorced,university.degree
8122,no,10,blue-collar,41,no,divorced,professional.course
8123,no,4,technician,36,no,divorced,professional.course
8124,no,4,student,38,no,single,university.degree
8125,no,4,blue-collar,48,no,married,basic.4y
8126,yes,9,blue-collar,48,no,married,basic.4y
8127,yes,4,technician,39,no,married,professional.course
8128,yes,8,admin.,33,no,married,university.degree
8129,no,6,services,52,yes,married,high.school
8130,no,6,retired,59,no,divorced,university.degree
8131,no,3,self-employed,42,no,married,university.degree
8132,yes,4,management,57,no,married,basic.9y
8133,no,14,services,33,no,married,high.school
8134,no,3,entrepreneur,39,no,married,high.school
8135,no,4,technician,39,no,single,professional.course
8136,no,6,services,28,no,married,high.school
8137,no,7,unknown,60,no,married,basic.6y
8138,no,5,blue-collar,44,no,married,basic.9y
8139,no,10,services,36,no,single,basic.9y
8140,no,2,admin.,26,no,married,high.school
8141,no,3,admin.,40,no,married,high.school
8142,no,5,blue-collar,48,no,married,basic.4y
8143,yes,3,blue-collar,40,no,married,basic.9y
8144,yes,2,blue-collar,43,no,single,professional.course
8145,yes,5,services,49,no,married,high.school
8146,yes,10,technician,32,no,married,professional.course
8147,yes,5,management,56,no,married,basic.4y
8148,no,1,housemaid,48,no,married,high.school
8149,no,4,entrepreneur,44,yes,married,basic.6y
8150,yes,3,blue-collar,57,no,married,basic.9y
8151,no,1,technician,30,no,single,university.degree
8152,no,1,blue-collar,34,no,married,basic.6y
8153,no,8,technician,34,no,married,university.degree
8154,yes,1,unemployed,46,no,married,basic.6y
8155,yes,1,services,32,no,married,high.school
8156,no,1,admin.,48,no,married,professional.course
8157,no,1,blue-collar,46,no,married,basic.9y
8158,yes,1,technician,38,no,single,university.degree
8159,yes,2,entrepreneur,43,no,married,basic.4y
8160,no,4,management,41,no,married,unknown
8161,no,1,services,36,no,single,basic.6y
8162,yes,3,blue-collar,48,no,divorced,basic.4y
8163,no,1,blue-collar,52,no,married,basic.9y
8164,no,1,entrepreneur,43,no,married,basic.9y
8165,no,1,blue-collar,46,no,married,basic.9y
8166,no,3,blue-collar,55,yes,divorced,basic.4y
8167,yes,1,blue-collar,44,no,single,basic.4y
8168,yes,1,services,24,no,single,high.school
8169,yes,4,retired,58,no,married,basic.4y
8170,no,2,unemployed,41,no,married,university.degree
8171,no,1,management,29,no,single,university.degree
8172,no,3,technician,26,no,single,university.degree
8173,no,1,management,32,no,married,high.school
8174,no,1,blue-collar,35,no,married,basic.9y
8175,yes,1,blue-collar,45,no,divorced,basic.9y
8176,no,1,technician,33,yes,married,professional.course
8177,no,2,admin.,38,no,married,high.school
8178,no,1,blue-collar,36,no,single,high.school
8179,no,7,blue-collar,35,no,married,unknown
8180,no,2,blue-collar,34,no,married,basic.9y
8181,unknown,1,blue-collar,41,unknown,married,basic.6y
8182,no,4,blue-collar,37,no,married,basic.6y
8183,no,2,housemaid,39,no,married,basic.9y
8184,yes,1,technician,33,no,married,university.degree
8185,yes,1,technician,43,no,married,professional.course
8186,no,5,blue-collar,47,no,married,basic.4y
8187,yes,1,admin.,33,no,married,high.school
8188,yes,1,blue-collar,40,no,married,basic.6y
8189,yes,1,services,31,no,single,high.school
8190,yes,2,admin.,34,no,married,university.degree
8191,yes,1,blue-collar,39,no,married,basic.6y
8192,no,1,blue-collar,35,no,married,basic.4y
8193,no,1,technician,35,no,married,university.degree
8194,no,1,retired,59,yes,single,high.school
8195,no,1,admin.,42,no,single,high.school
8196,no,3,blue-collar,32,no,single,high.school
8197,no,4,admin.,48,yes,married,high.school
8198,no,1,technician,46,no,married,professional.course
8199,no,1,unemployed,41,no,divorced,high.school
8200,yes,1,admin.,29,no,married,high.school
8201,unknown,1,student,38,unknown,single,university.degree
8202,yes,1,blue-collar,30,no,single,basic.4y
8203,no,1,unemployed,38,no,married,professional.course
8204,yes,1,self-employed,50,no,married,university.degree
8205,yes,1,services,37,no,married,high.school
8206,no,1,blue-collar,30,no,married,basic.6y
8207,no,1,management,52,no,divorced,university.degree
8208,no,1,blue-collar,40,no,divorced,basic.9y
8209,yes,1,unknown,50,no,single,unknown
8210,yes,1,entrepreneur,36,no,married,university.degree
8211,no,1,blue-collar,41,no,married,basic.9y
8212,no,1,housemaid,50,yes,single,unknown
8213,yes,1,technician,38,no,married,basic.9y
8214,yes,3,retired,51,yes,divorced,university.degree
8215,no,1,services,38,yes,married,high.school
8216,yes,2,blue-collar,38,no,married,basic.4y
8217,yes,1,management,55,no,married,university.degree
8218,yes,1,technician,58,yes,married,professional.course
8219,no,1,blue-collar,41,yes,married,basic.4y
8220,no,1,management,31,no,single,university.degree
8221,no,13,management,36,no,married,university.degree
8222,no,13,blue-collar,34,no,married,basic.4y
8223,yes,1,blue-collar,33,no,single,basic.9y
8224,no,1,services,42,no,married,high.school
8225,yes,3,blue-collar,35,no,married,basic.9y
8226,yes,1,technician,49,no,married,high.school
8227,no,1,retired,58,no,married,basic.4y
8228,yes,1,self-employed,51,no,married,university.degree
8229,yes,1,blue-collar,38,no,married,basic.6y
8230,no,1,blue-collar,48,yes,married,basic.4y
8231,yes,4,blue-collar,35,no,married,basic.9y
8232,no,2,technician,49,no,married,basic.6y
8233,yes,3,management,56,no,married,basic.9y
8234,yes,2,blue-collar,35,no,married,basic.9y
8235,yes,1,retired,60,no,divorced,basic.4y
8236,yes,1,admin.,37,no,single,high.school
8237,yes,1,blue-collar,31,yes,single,high.school
8238,no,1,admin.,44,yes,single,university.degree
8239,yes,1,admin.,38,no,single,university.degree
8240,yes,3,blue-collar,40,no,married,basic.4y
8241,yes,4,self-employed,30,no,married,professional.course
8242,yes,1,student,36,no,single,basic.9y
8243,yes,2,blue-collar,50,no,married,basic.6y
8244,no,5,admin.,28,no,single,high.school
8245,yes,1,services,50,no,married,high.school
8246,yes,7,management,48,yes,married,university.degree
8247,yes,2,blue-collar,57,no,divorced,basic.9y
8248,no,3,entrepreneur,56,no,married,university.degree
8249,yes,1,entrepreneur,56,no,married,unknown
8250,yes,3,admin.,27,no,married,basic.9y
8251,yes,5,blue-collar,49,yes,married,basic.4y
